Gene_symbol,NAME,Foldchange,PValue,FDR,FIB1-052,FIB2-063,FIB3-067,FIB4-211,FIB5-226,F1-064,F2-065,F3-093,F4-210,F5-213
Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",1.938968885,7.35E-08,3.35E-06,38.24679178,51.14351753,62.87647933,43.29957212,47.25283792,24.92809698,26.21787048,21.21337998,26.61295052,26.24911969
Abcc10,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10",1.439732033,0.009328605,0.045614779,18.27491757,20.35687922,24.52628626,18.65753921,16.57163654,14.37031473,13.16990703,11.22256231,15.7258344,13.81532615
Abcc12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12",11.88102995,0.000931668,0.007502284,0.522140502,0.376979245,6.911953401,0.117343014,0.662865462,0.146635865,0.487774335,0,0,0
Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",1.318196037,0.006958286,0.036199956,141.3695409,179.3164607,153.9581879,186.10602,167.894352,135.9314465,129.3821422,115.9208571,129.8389404,117.5684256
Abcc8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",1.783480806,0.000354506,0.00343004,40.07428353,59.68838042,100.5577737,55.38590255,53.6921024,34.31279231,31.58338816,30.24617404,50.1344977,27.21619252
Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",1.356155667,0.006944766,0.036162494,52.60565558,60.19101941,60.75830006,59.61025105,51.32472575,35.77915096,44.75329519,49.68036731,34.13984562,45.31426978
Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",1.396674253,0.00173898,0.012255665,104.5586355,107.0621055,122.9658807,97.27735851,92.32768932,63.63996523,68.28840684,72.26235245,89.11306159,81.92488408
Abcg2,"ATP-binding cassette, sub-family G (WHITE), member 2",-1.68961274,0.000260719,0.002682379,11.87869642,16.46142702,19.06361341,13.25976057,22.06395037,26.98099908,29.02257291,33.39396591,25.80649747,25.00574034
Abhd1,abhydrolase domain containing 1,-1.64194459,9.98E-05,0.001215012,20.23294446,14.3252113,16.94543414,15.48927783,15.15121055,23.75501006,29.14451649,27.3721032,29.30112734,25.1438936
Abhd17a,abhydrolase domain containing 17A,-1.35572521,0.007434906,0.038056786,123.0946234,114.9786696,84.05827201,100.7976489,81.91123206,134.318452,138.2840238,148.9042414,147.3120897,115.2198201
Abhd17c,abhydrolase domain containing 17C,-1.823946419,1.07E-05,0.00020502,35.63608927,20.35687922,18.17174846,23.93797483,24.33663195,38.85850411,45.72884386,40.51071274,52.68826568,45.31426978
Abhd2,abhydrolase domain containing 2,2.726041251,7.17E-08,3.32E-06,47.38425056,70.11813952,35.1171826,88.12460342,58.61624583,14.51695059,16.46238379,21.48710101,20.69896152,36.6106143
Abhd3,abhydrolase domain containing 3,-1.69233809,2.41E-07,9.06E-06,79.10428606,79.79394013,74.2477575,68.99769216,76.13483304,127.8664739,152.1855924,129.8806297,110.3496585,119.7788777
Abhd4,abhydrolase domain containing 4,-1.358547136,0.003887716,0.023047065,86.93639359,79.79394013,74.13627438,66.7681749,79.73324554,98.39266513,129.747973,110.7201574,93.68296218,93.52975805
Abi1,abl-interactor 1,-1.711798161,1.53E-06,4.29E-05,142.9359624,112.4654747,93.53433715,117.6950429,121.0202943,186.227548,184.500642,193.1101881,246.6402233,195.3487118
Abi3,"ABI gene family, member 3",-2.149858111,7.25E-05,0.000943026,7.309967029,4.649410685,3.56745982,5.045749597,6.818044749,11.29096157,14.38934287,14.37035418,11.1559338,7.736582645
Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",1.656596469,6.22E-06,0.000132456,86.67532334,95.50140866,114.3816805,81.55339465,104.0698775,52.05573193,53.04545888,53.64932227,68.68291776,63.68865356
Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",1.824366548,4.68E-05,0.000665076,25.0627441,28.52476285,17.94878222,27.57560826,25.66236288,11.29096157,11.82852761,12.31744644,13.70970178,19.20330335
Ablim2,actin-binding LIM protein 2,1.448677379,0.000308638,0.003068942,82.23712908,97.63762438,90.41280981,94.46112617,89.8656176,67.01259011,54.87461264,66.65107129,57.25816627,68.10955793
Ablim3,"actin binding LIM protein family, member 3",1.696566017,0.009742719,0.047270619,31.7200355,30.53531882,70.68029768,33.91213101,26.23053327,16.27658097,32.31504966,11.77000438,29.70435386,23.62420772
Abra,actin-binding Rho activating protein,4.71833925,0.000347402,0.003369607,0.783210753,3.769792447,0.780381836,5.045749597,3.030242111,0.439907594,1.219435836,0.136860516,0.537635364,0.414459785
Abracl,ABRA C-terminal like,-2.195789482,3.74E-06,8.78E-05,14.88100431,11.93767608,6.466020924,8.448696999,11.07932272,25.51464044,21.94984505,26.96152165,25.53767979,15.88762508
Abtb2,ankyrin repeat and BTB (POZ) domain containing 2,1.707427702,0.002078794,0.014162199,11.7481613,13.44559306,13.71242368,12.90773153,7.954385541,5.865434583,5.853292015,9.169654572,7.123668573,6.907663076
Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),-1.392378752,0.007469726,0.038153192,24.27953335,26.76552638,27.87077984,21.1217425,25.37827768,36.95223787,43.28997219,34.89943158,27.28499472,32.18970993
Acaca,acetyl-Coenzyme A carboxylase alpha,2.217967346,8.25E-12,1.49E-09,105.2113112,113.9733917,83.05492393,122.5061065,105.9637788,41.35131381,39.99749543,46.80629647,54.16676293,56.91914375
Acad9,"acyl-Coenzyme A dehydrogenase family, member 9",1.317484636,0.007798237,0.039457748,62.26525487,57.17518545,53.95782978,63.48257051,60.60484222,42.52440073,44.38746444,49.40664628,42.47319376,46.97210892
Acadl,"acyl-Coenzyme A dehydrogenase, long-chain",-1.640337282,5.16E-05,0.000714329,23.75739284,24.88063015,24.30332002,21.70845757,23.57907143,42.37776486,48.89937704,37.22606035,33.33339257,32.05155667
Acads,"acyl-Coenzyme A dehydrogenase, short chain",-1.474698587,0.002044411,0.013994594,18.79705807,16.08444778,16.61098479,15.48927783,14.86712536,26.1011839,23.77899881,26.00349804,20.16132615,24.59128055
Acat1,acetyl-Coenzyme A acetyltransferase 1,-1.41501373,0.00118888,0.009061835,98.94562514,100.1508193,75.69703805,87.77257438,100.3767699,157.3402827,126.6993834,133.8495847,127.1507636,110.1081494
Acbd4,acyl-Coenzyme A binding domain containing 4,-1.32784775,0.008061615,0.040539487,70.0973624,51.14351753,54.40376225,47.99329268,53.9761876,78.74345928,75.2391911,71.44118936,76.34422169,66.72802532
Ackr2,atypical chemokine receptor 2,3.287247454,0.00330179,0.020319739,2.871772761,6.157327664,1.003348074,6.101836722,4.829448364,0.439907594,0.731661502,0.547442064,3.763447548,0.828919569
Acot11,acyl-CoA thioesterase 11,2.108724304,0.001140652,0.008757925,7.309967029,9.047501873,13.04352497,6.101836722,6.912739815,4.545711802,2.316928089,4.653257544,2.956994502,5.664283722
Acot13,acyl-CoA thioesterase 13,-1.497160885,0.003289065,0.020291346,18.53598782,16.58708677,12.59759249,16.31067893,15.34060069,29.32717292,20.8523528,27.09838217,21.37100572,20.17037618
Acot2,acyl-CoA thioesterase 2,-1.457545501,0.009174305,0.045027008,18.27491757,11.93767608,13.71242368,10.67821426,14.29895496,19.50256999,21.5840143,21.62396153,16.3978786,21.27560227
Acox3,"acyl-Coenzyme A oxidase 3, pristanoyl",1.621055428,0.000228599,0.002391582,34.20020289,36.19000749,32.44158774,33.44275896,33.61674842,17.44966789,15.12100437,25.59291649,21.23659688,25.42020012
Acsbg1,acyl-CoA synthetase bubblegum family member 1,-1.399268127,0.002273153,0.015190929,235.0937611,197.9141035,190.8591004,208.0491636,206.719329,289.7524684,342.66147,323.9488414,236.9627867,259.8662849
Acsl5,acyl-CoA synthetase long-chain family member 5,-1.523004909,0.007138263,0.036912561,98.29294951,66.34834707,36.78942939,71.8139245,73.67276132,123.467398,70.23950417,130.8386533,93.14532682,110.6607625
Actb,"actin, beta",-1.65347201,3.43E-05,0.000521292,2198.864189,1893.566746,1412.602606,1910.930981,2016.626125,3285.669818,2736.901791,2980.137736,3658.339835,2935.480501
Actg2,"actin, gamma 2, smooth muscle, enteric",15.88588019,0.003218238,0.019953903,0.130535126,0,2.341145507,0,0.852255594,0.146635865,0,0,0,0
Actn2,actinin alpha 2,-1.785952137,0.000213743,0.002272163,47.51478569,40.83941818,22.07365764,28.16232333,35.22656454,62.61351418,48.53354629,81.56886754,43.14523796,74.46460796
Actr3,ARP3 actin-related protein 3,-1.497829441,0.00205587,0.014053032,269.9466396,211.8623355,144.3706396,219.431436,204.9201227,287.8462022,301.5664823,274.9527767,428.629794,280.3129676
Acvr1b,"activin A receptor, type 1B",2.277528285,5.91E-09,4.12E-07,62.13471975,94.24481118,65.55207419,111.1238341,81.2483666,26.83436322,28.90062932,38.18408397,41.12910535,46.83395566
Acvr1c,"activin A receptor, type IC",3.049361635,0.000507065,0.004588974,2.349632259,3.644132699,11.70572753,4.459034527,3.693107573,1.61299451,1.097492253,2.05290774,1.075270728,2.624911969
Acvr2b,activin receptor IIB,3.521880422,1.69E-06,4.62E-05,3.78551864,6.534306909,3.678942939,5.280435625,4.166582902,0.879815187,1.585266587,0.958023612,1.209679569,1.934145661
Acyp2,"acylphosphatase 2, muscle type",-1.808359661,2.40E-07,9.06E-06,36.41930002,27.39382512,27.20188113,28.7490384,27.36687406,58.65434583,48.53354629,55.5653695,54.83880713,48.35364153
Adam10,a disintegrin and metallopeptidase domain 10,1.316761955,0.007536645,0.0383944,85.10890184,104.0462715,101.4496386,110.6544621,96.11549195,66.42604665,69.99561701,77.05247051,74.32808908,89.93777325
Adam23,a disintegrin and metallopeptidase domain 23,2.13726459,1.00E-05,0.000194944,82.8898047,110.329259,123.4118131,116.9909848,96.58896728,39.44504757,21.46207072,59.53432446,52.82267452,74.87906775
Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",3.174992103,2.30E-08,1.29E-06,9.659599288,17.08972576,22.63107323,17.48410907,18.18145267,2.492809698,5.36551768,7.664188896,4.569900594,6.631356553
Adamts18,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18",11.42436613,0.000189342,0.002056055,1.17481613,1.005277986,20.62437708,0.352029042,0.47347533,0.146635865,0.609717918,0.410581548,0.268817682,0.552613046
Adamts2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2",3.858567464,0.000474346,0.004354849,9.920669539,5.403369174,31.88417214,11.0302433,21.9692553,3.225989021,3.902194676,4.926978576,0.134408841,8.565502214
Adar,"adenosine deaminase, RNA-specific",2.196816119,8.69E-11,1.09E-08,124.9221151,152.1739551,113.4898155,169.091283,141.4744286,48.38983531,59.99624315,58.71316137,68.68291776,83.3064167
Adarb1,"adenosine deaminase, RNA-specific, B1",1.630227282,2.76E-05,0.000439001,261.7229267,346.6952454,435.8989967,329.968555,293.2706193,203.8238518,194.2561287,186.5408833,235.7531071,202.5326814
Adarb2,"adenosine deaminase, RNA-specific, B2",1.718390498,0.007450326,0.038108264,9.659599288,11.81201633,17.94878222,10.44352824,10.22706712,4.545711802,5.243574096,6.979886316,6.451624368,11.74302723
Adc,NA,1.6416535,0.002068467,0.014103036,12.92297743,14.95351004,19.39806277,14.66787674,12.78383391,6.158706312,9.511599524,10.53825973,9.005392348,10.22334135
Adck2,aarF domain containing kinase 2,1.423568532,0.009711481,0.047148257,28.06505199,26.38854713,27.20188113,30.62652662,26.60931354,17.30303202,14.51128645,16.97070398,23.65595602,25.1438936
Adcy1,adenylate cyclase 1,4.443991488,5.37E-16,3.69E-13,223.3455998,272.0533549,374.6947642,326.4482646,259.0857005,35.33924336,75.36113469,37.36292087,103.7636253,75.56983405
Adcy10,adenylate cyclase 10,3.116910552,0.00058879,0.005193414,1.696956632,8.293543384,2.006696149,5.632464666,6.34456942,2.639445562,1.219435836,1.642326192,1.075270728,1.105226092
Adcy5,adenylate cyclase 5,1.658284187,3.41E-05,0.000518462,167.9987065,168.2584029,111.2601531,181.1776134,147.7243029,74.34438334,100.1156822,98.95015307,80.51089576,114.114594
Adcy6,adenylate cyclase 6,1.711883449,8.90E-06,0.000178054,66.83398426,75.0188697,82.16305898,66.06411682,74.05154158,34.16615645,46.09467461,51.3226935,30.91403343,50.14963393
Adcy8,adenylate cyclase 8,2.227424768,1.02E-07,4.47E-06,38.11625665,42.59865465,41.69468665,48.58000775,44.41198594,12.46404849,27.19341915,13.00174902,22.84950297,20.99929575
Adcy9,adenylate cyclase 9,3.182621482,6.68E-11,8.89E-09,29.37040324,41.34205717,20.06696149,42.00879897,34.37430895,7.478429094,7.072727851,10.40139922,13.4408841,14.09163268
Add2,adducin 2 (beta),2.433232,1.24E-07,5.31E-06,133.9290388,149.4094407,96.76734762,159.8211849,122.8195006,26.24781976,51.70407946,42.28989945,73.52163603,78.47105254
Add3,adducin 3 (gamma),-1.442438965,0.001062269,0.008319815,155.7284047,148.6554822,190.0787185,121.8020484,179.3524549,219.5138893,261.4470433,229.6519459,225.4036264,211.7889499
Adhfe1,"alcohol dehydrogenase, iron containing, 1",-1.494093048,0.00382096,0.022742419,46.47050468,46.74542635,22.74255635,40.24865376,45.16954647,62.17360658,69.02006834,68.15653697,48.5215916,52.91269916
Adipor2,adiponectin receptor 2,2.058229948,4.59E-06,0.000103026,19.71080395,31.91757605,21.96217452,23.93797483,26.4199234,9.971238791,9.023825189,10.12767818,14.24733715,16.85469791
Adnp2,ADNP homeobox 2,1.430856967,0.003918713,0.023190783,32.242176,39.45716095,30.43489159,41.65676993,32.95388296,24.48818938,22.19373222,20.11849585,27.95703893,28.7358784
Ado,2-aminoethanethiol (cysteamine) dioxygenase,1.750558349,0.001274337,0.009566162,12.40083692,13.44559306,13.04352497,17.01473701,13.25730924,5.13225526,6.584953516,8.348491476,7.392486255,12.01933375
Adora1,adenosine A1 receptor,1.481151399,0.001627093,0.011648846,64.484352,69.23852128,80.37932907,78.03310423,67.6122771,47.07011253,32.802824,45.71141235,65.99474094,51.39301329
Adora3,adenosine A3 receptor,-3.073168174,1.05E-05,0.000202243,1.435886381,1.256597482,0.891864955,1.408116167,1.325730924,4.545711802,4.877743345,3.968954964,2.822585661,3.315678277
Adprh,ADP-ribosylarginine hydrolase,-1.422519905,0.001318549,0.009820151,57.04384985,59.81404016,40.80282169,60.66633818,49.5255195,82.11608417,71.58088359,79.65282032,75.00013328,72.5304623
Adprhl1,ADP-ribosylhydrolase like 1,12.55705385,0.000291895,0.002946067,0.261070251,0.879618238,22.07365764,0.234686028,0.94695066,0.439907594,0.609717918,0.410581548,0.268817682,0.138153262
Adra1b,"adrenergic receptor, alpha 1b",4.496683213,3.66E-07,1.28E-05,6.526756276,20.23121947,6.466020924,15.2545918,8.427860871,1.026451052,3.292476758,2.73721032,1.209679569,4.282751107
Adra1d,"adrenergic receptor, alpha 1d",-2.284791932,0.00044333,0.004114105,84.97836671,71.87737599,11.59424441,66.53348887,48.9573491,136.5179899,81.09248312,164.6432008,138.9787416,127.3773071
Adrb1,"adrenergic receptor, beta 1",2.284438516,0.003518232,0.02136576,12.2703018,23.37271317,3.344493581,25.346091,13.82547963,2.932717292,8.901881605,7.116746832,6.586033209,8.565502214
Adrbk2,"adrenergic receptor kinase, beta 2",2.190113413,3.44E-07,1.22E-05,34.20020289,32.79719429,49.60998812,33.67744498,36.1735152,10.70441811,17.19404529,19.98163534,13.70970178,23.48605446
Adrm1,adhesion regulating molecule 1,-1.321581565,0.006032613,0.032359854,104.4281004,93.11387345,109.4764232,96.80798645,89.2974472,145.4627777,123.0410759,132.2072585,135.0808852,115.9105864
Adtrp,androgen dependent TFPI regulating protein,-2.205662447,0.004047053,0.023728235,1.044281004,1.884896224,0.891864955,2.816232333,2.083291451,4.252440073,4.877743345,4.653257544,2.419359138,3.177525015
Aebp1,AE binding protein 1,3.499587858,0.000663801,0.005720383,39.16053765,29.27872134,212.932758,15.37193482,214.3896293,39.15177584,29.26646007,16.69698295,34.4086633,26.52542621
Aes,amino-terminal enhancer of split,-1.534519296,0.000173633,0.001905222,851.8722291,735.3608467,640.9164533,753.8115212,687.580874,1206.959801,1271.993521,1188.223,1080.109446,883.4901074
Afap1,actin filament associated protein 1,1.850160789,0.000460602,0.004244557,12.40083692,14.70219054,14.15835616,11.14758632,15.81407602,4.252440073,7.438558602,6.569304768,8.06453046,10.49964788
Aff1,"AF4/FMR2 family, member 1",2.23201581,1.14E-06,3.37E-05,15.14207456,13.69691256,22.18514076,14.31584769,16.38224641,6.012070448,6.463009933,6.8430258,9.677436553,7.598429384
Aff3,"AF4/FMR2 family, member 3",1.857047395,1.05E-07,4.58E-06,63.83167638,62.57855462,58.41715455,75.68624395,59.27911129,29.03390119,30.72978308,31.75163971,36.55920475,44.07089043
Aff4,"AF4/FMR2 family, member 4",1.381267973,0.002810733,0.018039124,223.60667,248.1780028,250.7255355,257.4505725,240.5254676,144.1430549,164.3799507,173.2654133,187.0971067,214.6901684
Afmid,arylformamidase,-1.719562428,4.24E-05,0.000618,22.32150646,16.46142702,15.16170423,16.0759929,21.02230464,32.11325434,37.92445451,30.65675559,27.82263009,28.04511209
Agap1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",1.56226427,1.05E-05,0.000202243,132.3626173,161.3471167,159.0864113,151.2551449,135.7927246,103.5249204,93.65267223,85.81154354,97.04318321,93.52975805
Agap3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",-1.406912149,0.001701793,0.012057936,456.6118691,357.1250045,324.3043943,345.9272049,333.4213273,544.8988728,465.092828,534.714036,558.8719609,453.1426978
Agfg2,ArfGAP with FG repeats 2,-1.493146752,0.000567659,0.005041681,75.44930255,46.74542635,50.72481931,47.75860665,58.23746557,81.23626898,84.87273421,74.58898122,97.17759205,78.47105254
Ago2,argonaute RISC catalytic subunit 2,1.930880623,2.59E-05,0.000413942,17.10010144,15.83312828,18.28323158,21.59111455,15.90877108,6.891885635,9.633543107,6.979886316,11.29034264,11.05226092
Ago3,argonaute RISC catalytic subunit 3,1.807353534,0.002789428,0.017924865,5.613010397,8.54486288,9.253098908,7.979324944,7.954385541,5.13225526,3.292476758,3.968954964,3.897856389,5.526130461
Ago4,argonaute RISC catalytic subunit 4,1.933214287,0.00168055,0.011936982,5.613010397,8.042223888,8.026784595,8.566040013,7.859690475,2.639445562,3.292476758,4.516397028,5.913989004,3.315678277
Agpat4,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",-1.396442654,0.001720091,0.012152503,92.15779861,84.44335082,74.13627438,66.65083188,80.396111,131.9722781,95.84765674,108.5303892,117.3389182,101.8189537
Agpat6,"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)",1.510299689,0.000278818,0.002837429,93.72422012,95.50140866,120.2902858,94.22644015,94.6003709,51.17591674,58.53292015,73.35723658,68.41410007,78.47105254
Agps,alkylglycerone phosphate synthase,1.677421907,0.001528752,0.011097512,12.2703018,14.19955155,15.49615359,17.01473701,13.6360895,6.012070448,7.072727851,9.443375604,9.139801189,11.60487397
Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",-1.940436649,3.80E-06,8.85E-05,232.6135937,153.1792331,233.3341688,135.296495,169.9776434,317.9065544,460.5809154,393.8845651,238.3068751,382.9608409
Agtr1b,"angiotensin II receptor, type 1b",-27.41541602,0.000255329,0.002637479,0,0,0,0,0,0.146635865,0.121943584,1.231744644,0,0.552613046
Ahsa2,"AHA1, activator of heat shock protein ATPase 2",-1.724423326,1.60E-06,4.43E-05,39.94374841,31.91757605,43.58989967,32.62135786,31.4387619,66.42604665,66.3373095,61.5872322,62.90333759,52.22193286
Aif1,allograft inflammatory factor 1,-2.792722839,2.42E-10,2.59E-08,17.75277707,11.93767608,11.25979506,12.32101646,11.93157831,46.33693321,49.14326421,32.57280281,30.77962459,23.07159467
Aig1,androgen-induced 1,-1.351913921,0.007253008,0.037326031,56.2606391,51.77181628,70.56881456,53.50841433,49.99899483,87.98151875,67.67868892,86.08526457,66.26355862,73.49753513
Aimp2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2,-1.499588481,0.000724943,0.00614305,30.28414912,24.00101191,20.17844461,26.28483511,29.73425071,42.52440073,37.31473659,38.59466551,40.86028767,36.47246104
Ak3,adenylate kinase 3,-1.582031191,0.000135216,0.001551728,43.4681968,38.07490372,35.45163196,32.03464279,39.48784251,76.25064958,55.1184998,60.49234807,61.42484034,45.03796326
Ak7,adenylate kinase 7,-5.773463879,0.001923986,0.013313508,0.783210753,0.376979245,0.222966239,0.117343014,0.094695066,4.692347667,0.731661502,0,1.612906092,2.348605446
Akap1,A kinase (PRKA) anchor protein 1,1.376864257,0.003432527,0.020963935,52.21405021,55.29028923,50.72481931,61.95711133,53.50271227,36.21905855,36.09530076,37.22606035,45.83341478,43.38012412
Akap10,A kinase (PRKA) anchor protein 10,1.922583585,1.24E-06,3.65E-05,20.36347958,25.76024839,29.65450975,28.16232333,23.86315662,12.61068435,11.46269686,12.59116747,15.45701672,14.3679392
Akap12,A kinase (PRKA) anchor protein (gravin) 12,2.368338494,2.35E-05,0.000384335,68.5309409,118.3714828,274.4714399,90.35412069,111.5507877,58.94761756,51.58213588,63.22955839,36.55920475,69.76739707
Akap13,A kinase (PRKA) anchor protein 13,-1.644805126,0.000142048,0.00161609,46.86211006,31.16361756,29.3200604,25.81546305,36.55229546,54.69517749,44.50940803,64.87188459,55.24203365,59.82036224
Akap2,A kinase (PRKA) anchor protein 2,1.872810668,3.35E-06,8.12E-05,62.78739537,87.08220553,55.63007657,94.34378316,89.5815324,30.94016743,36.94890584,39.82641016,47.98395624,52.22193286
Akap6,A kinase (PRKA) anchor protein 6,1.990062296,2.40E-06,6.18E-05,239.6624904,320.5580178,186.8457081,378.3138768,282.3806867,122.0010393,110.8467175,142.0612156,130.6453935,201.8419151
Akap9,A kinase (PRKA) anchor protein (yotiao) 9,1.522711182,0.000209375,0.002229865,140.9779356,157.702984,200.781098,177.657323,168.3678273,91.20750777,106.3348049,100.5924793,117.7421447,139.3966409
Akirin2,akirin 2,-1.415068924,0.000335485,0.003269353,59.39348211,58.55744268,58.30567143,57.38073379,55.01783333,81.82281244,80.84859595,84.03235683,87.09692897,74.60276122
Akr1b10,"aldo-keto reductase family 1, member B10 (aldose reductase)",1.712909609,0.000614869,0.005374778,16.96956632,22.24177544,20.28992773,31.09589868,18.0867576,9.677967062,12.43824553,15.46523831,11.29034264,14.50609246
Aldh1a2,"aldehyde dehydrogenase family 1, subfamily A2",6.512734099,4.69E-05,0.000665981,6.787826527,3.267153454,52.39706611,3.989662472,63.06691393,2.639445562,6.219122765,2.73721032,2.419359138,5.802436984
Aldh1a3,"aldehyde dehydrogenase family 1, subfamily A3",8.161435705,0.004354168,0.025177622,0.130535126,0.251319496,0.334449358,0.117343014,0.757560528,0,0.121943584,0,0,0
Aldh7a1,"aldehyde dehydrogenase family 7, member A1",-1.516800966,0.000858427,0.007034593,45.16515343,44.98618987,37.23536187,42.71285705,46.30588726,67.30586184,85.36050855,68.70397904,43.68287333,63.13604052
Aldh9a1,"aldehyde dehydrogenase 9, subfamily A1",-1.376026473,0.001989373,0.013682302,66.44237889,64.5891106,70.45733144,58.67150694,66.94941164,101.0321107,99.74985141,85.12724096,84.40875215,79.85258516
Alg10,NA,1.918872507,0.000120771,0.001418195,12.13976667,12.56597482,10.03348074,13.37710358,13.44669937,5.425526989,5.487461264,5.063839092,7.795712778,8.289195691
Alg11,"asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)",1.433134389,0.002403586,0.015858862,29.10933299,33.55115278,35.00569948,37.31507841,32.10162736,20.96892864,21.34012714,24.22431133,22.84950297,27.21619252
Alkbh2,"alkB, alkylation repair homolog 2 (E. coli)",-1.716392332,0.001340637,0.00995838,6.39622115,5.780348419,6.466020924,5.984493708,4.92414343,12.61068435,9.877430275,9.032794056,10.21507192,8.979961999
