Gene_symbol,NAME,Foldchange,PValue,FDR,MIB1,MIB2,MIB3,MIB4,MIB5,M1,M2,M3,M4,M5
Acsl4,acyl-CoA synthetase long-chain family member 4,-2.291796857,3.29E-08,5.68E-07,57.95219938,64.43455043,84.75595191,47.00508906,74.01355432,184.7580283,140.8388772,89.38248344,171.7804996,165.2515799
Acsl6,acyl-CoA synthetase long-chain family member 6,-1.419266103,9.39E-06,8.55E-05,145.0760941,133.2558916,123.7356939,138.7741933,131.6103606,185.3460551,170.3003287,220.3624352,193.0847098,185.4752518
Acss3,acyl-CoA synthetase short-chain family member 3,-1.885514328,0.006636036,0.024045477,4.694295803,1.937024504,0.86621649,3.217952307,1.547706887,3.763371678,7.630667546,4.901027194,3.611920697,3.297337811
Actb,"actin, beta",-1.800160702,2.68E-07,3.65E-06,842.1231363,894.9622924,880.1425855,726.1079528,931.3878942,1620.660731,1634.276745,1296.750533,1402.098639,1741.379053
Actg1,"actin, gamma 1",-1.34569938,0.005846167,0.021565748,1116.292365,1226.250454,1306.787523,1032.732837,1349.876781,1661.881412,1498.642892,1718.790237,1571.614036,1666.254707
Actl6b,actin-like 6B,1.442172448,1.62E-05,0.000137855,83.93847971,95.48391381,99.01520797,66.77251038,98.83213976,69.38716531,63.82472259,57.89338372,52.89321156,63.80348663
Actl7a,actin-like 7a,4.508844066,0.000150235,0.000946164,0.72649816,0.512741781,0.399792226,0.517170907,0.552752459,0.176408047,0.050534222,0.06126284,0.183656985,0.10991126
Actl7b,actin-like 7b,3.476314241,0.004740142,0.018040071,0.72649816,0.854569634,0.732952414,0.861951511,0.718578197,0.058802682,0.252671111,0.490102719,0.244875979,0.05495563
Actr2,ARP2 actin-related protein 2 homolog (yeast),-1.871105254,4.27E-12,1.80E-10,103.55393,100.5543603,101.7471215,68.78373057,108.0078306,193.4608253,171.1088762,158.8545439,181.3918818,198.2799137
Actr3,ARP3 actin-related protein 3 homolog (yeast),-1.577943523,0.000485184,0.002584436,172.5153708,176.7250004,227.2818805,108.7208172,202.9707031,298.6588242,302.0430459,196.1023506,272.9754981,331.6572281
Actr5,ARP5 actin-related protein 5 homolog (yeast),1.602297513,0.000181407,0.001115072,11.73573951,11.96397488,10.92765418,13.1591264,9.673168041,8.34998091,7.074791102,7.90290635,6.55043245,5.990163689
Acvr1,"activin A receptor, type I",-2.134063361,1.68E-07,2.38E-06,13.41227372,10.76757739,12.59345512,8.504588241,13.81881149,32.45908072,28.60236974,16.1121269,21.12055323,27.80754887
Acvr1b,"activin A receptor, type IB",-1.469562062,1.29E-05,0.000112902,28.05400587,37.08832213,32.38317031,26.4906431,30.18028429,49.51185863,41.48859639,41.9037825,47.87325398,45.83299557
Acvr1c,"activin A receptor, type IC",-2.801872887,1.31E-05,0.000114465,1.173573951,1.025483561,1.13274464,1.666439588,0.829128689,5.292241422,3.537395551,1.470308158,2.938511753,3.13247092
Acvr2a,"activin A receptor, type IIA",-1.480294803,0.000908764,0.004438455,13.80346504,12.47671666,9.528381386,8.447124807,12.76858181,19.40488521,15.81721154,19.54284593,15.05987274,14.72810889
Acy1,aminoacylase 1,1.390236935,0.008280218,0.028922643,27.38339218,32.75850265,27.51903156,47.17747936,27.41652199,20.4633335,19.96101775,28.30343204,25.89563483,22.14711896
Acyp2,"acylphosphatase 2, muscle type",-1.520054605,2.67E-05,0.000210819,28.8363885,22.04789657,35.381612,26.6630334,33.05459708,47.10094865,43.76263639,35.22613295,49.22007187,46.49246313
Adam10,ADAM metallopeptidase domain 10,-1.635293889,2.28E-11,8.11E-10,63.98772255,58.45256299,47.77517101,51.48723692,51.18487775,84.02903324,85.55443812,89.933849,97.7667348,89.19298778
Adam11,ADAM metallopeptidase domain 11,1.4416575,0.001803086,0.007961777,221.3584009,231.1895717,238.0762706,186.3539167,240.2262189,195.5777219,135.5327838,134.1043566,145.4563318,164.2623786
Adam1a,a disintegrin and metallopeptidase domain 1a,1.869803255,8.55E-06,7.85E-05,13.2446203,12.98945844,12.72671919,14.02107791,13.21078378,6.056676294,5.811435548,9.740791547,6.734089435,7.089276293
Adam23,ADAM metallopeptidase domain 23,-2.286628153,1.36E-07,1.98E-06,25.09212876,36.68952297,30.65073733,33.61610892,34.49175347,99.78815214,68.8781448,40.55600003,76.03399162,81.88388896
Adam30,ADAM metallopeptidase domain 30,3.25943659,0.000624948,0.003207505,1.564765268,0.740627016,0.999480565,1.034341813,1.658257378,0.23521073,0.050534222,0.918942599,0.428532964,0.219822521
Adam4,a disintegrin and metalloprotease domain 4,3.678952942,0.000751423,0.003758238,1.061805003,1.08245487,0.799584452,2.183610494,0.27637623,0.352816095,0.151602666,0.36757704,0.306094974,0.274778151
Adam4l1,a disintegrin and metallopeptidase domain 4-like 1,2.080937662,0.001082733,0.005161998,2.011841058,1.993995813,1.532536866,2.700781401,2.487386068,0.940842919,0.909615999,1.163993958,1.040722913,1.099112604
Adam9,ADAM metallopeptidase domain 9,-1.794660757,1.35E-12,6.61E-11,42.91927591,32.4166748,28.18535193,30.97279096,29.40643084,56.03895639,65.08807814,60.83400004,58.70901607,53.63669505
Adamts10,"ADAM metallopeptidase with thrombospondin type 1 motif, 10",3.081740726,2.04E-18,3.02E-16,49.45775935,42.44362517,39.37953426,72.05914631,45.54680266,12.99539282,20.41582575,20.89062841,13.28452189,13.13439561
Adamts15,"ADAM metallopeptidase with thrombospondin type 1 motif, 15",2.015903886,0.008163441,0.028617294,3.6324908,7.007471002,5.597091164,24.24956917,5.416974103,3.880977043,8.085475546,3.737033235,4.162891651,2.857692769
Adamts3,"ADAM metallopeptidase with thrombospondin type 1, motif 3",-2.659106472,0.000289274,0.001662067,8.885631341,7.805069327,8.928693047,2.298537362,11.71835214,25.75557492,24.76176886,5.084815713,21.36542921,28.46701643
Adamts7,"ADAM metallopeptidase with thrombospondin type 1 motif, 7",2.979679331,0.000615636,0.00317014,1.341227372,0.854569634,1.199376678,4.022440384,0.939679181,0.529224142,0.758013332,0.796416919,0.306094974,0.384689411
Adamtsl4,ADAMTS-like 4,2.409390817,0.013195226,0.04263799,26.15393376,6.266843985,6.263411541,23.73239827,5.859176071,2.234501934,14.90759554,4.227135954,3.611920697,3.297337811
Adamtsl5,ADAMTS-like 5,2.938322557,6.95E-05,0.000485251,2.458916849,3.987991627,2.731913544,11.66507711,3.316514757,1.411264379,2.071903109,1.899148038,1.101941908,1.703624535
Adap1,ArfGAP with dual PH domains 1,1.354714921,8.02E-05,0.000549845,204.3695208,270.9555454,266.1283584,219.4528547,259.1856283,178.4073386,165.1963722,201.2484291,172.3314705,183.4418935
Adap2,ArfGAP with dual PH domains 2,1.926865352,0.000995586,0.004799768,8.326786603,8.089925872,5.330563013,12.8143458,6.633029514,2.940134123,4.143806217,6.738912391,3.611920697,3.956805373
Adar,"adenosine deaminase, RNA-specific",-1.21263035,0.007198063,0.025712929,74.32635021,89.0461559,75.02767441,85.85037048,73.84772859,101.846246,89.29397056,100.8386345,94.52212807,96.3372197
Adarb2,"adenosine deaminase, RNA-specific, B2",-1.47529802,0.005810813,0.021453771,6.147292123,7.235356237,5.1306669,8.102344202,4.864221643,10.81969357,9.449899544,7.71911783,8.203345312,10.27670284
Adat3,"adenosine deaminase, tRNA-specific 3",2.085654293,2.68E-06,2.80E-05,6.035523175,5.811073513,5.930251352,6.780685219,5.859176071,3.410555583,2.779382219,2.756827796,2.877292759,2.747781509
Adck4,aarF domain containing kinase 4,1.960758767,4.83E-11,1.60E-09,62.64649518,70.92927965,60.83505039,50.68274884,65.28006547,29.10732782,29.91625952,42.08757102,28.03829965,29.18143962
Adck5,aarF domain containing kinase 5,1.929488083,6.52E-11,2.08E-09,24.30974612,26.7195439,27.31913544,28.15708269,27.36124674,13.11299819,13.94744532,17.21485802,12.85598892,12.25510553
Adcy1,adenylate cyclase 1 (brain),-2.662789851,2.46E-09,5.57E-08,138.4817262,173.0218653,123.0027415,74.35768367,110.0530147,335.9985276,368.0912742,257.4877162,376.1907234,310.3344436
Adcy6,adenylate cyclase 6,1.310618023,0.006860464,0.024717825,71.53212652,57.99679252,52.37278161,74.58753741,53.34061234,46.10130305,56.29512349,55.32034445,42.97573439,35.72115961
Adcy9,adenylate cyclase 9,-2.233588709,1.97E-05,0.00016245,12.40635319,13.44522891,12.26029493,7.068002389,16.14037182,35.69322826,29.76465685,12.4363565,27.12001472,31.98417676
Add2,adducin 2 (beta),-1.896842592,1.32E-09,3.17E-08,60.01992491,70.92927965,68.76426287,33.44371862,61.46607349,120.1338803,109.6592621,103.1666224,107.561774,118.2645161
Add3,adducin 3 (gamma),-1.719045514,8.19E-11,2.57E-09,169.1623023,141.060961,122.8028454,151.0139047,144.5447682,228.9188428,240.5934317,264.4716799,271.2001472,247.5201583
Adk,adenosine kinase,-1.346756306,0.000101079,0.000671782,48.78714566,50.13475188,48.17496323,48.49913835,52.23510742,63.91851584,56.69939726,73.08656802,71.68744299,68.52967083
Ado,2-aminoethanethiol (cysteamine) dioxygenase,-1.49505913,0.000470222,0.002511751,7.432635021,8.830552888,7.396156181,6.206050878,8.73348886,14.11264379,10.81432354,10.96604835,10.7745431,11.1010373
Adpgk,ADP-dependent glucokinase,1.387942516,0.007753231,0.027427872,95.84187264,104.7702372,78.49254037,104.8707672,82.80231843,58.62627442,68.12013147,37.12528099,84.97196487,87.43440761
Adprh,ADP-ribosylarginine hydrolase,-1.251333114,0.004559913,0.017415927,40.06916775,43.07030957,50.04066029,44.7065517,49.0844184,62.97767292,55.33497327,51.70583689,55.28075236,58.6376574
Adprhl2,ADP-ribosylhydrolase like 2,1.412587997,2.59E-06,2.73E-05,48.39595435,52.01480508,56.23743979,52.9812862,51.51652922,36.75167654,38.15333773,37.06401815,36.05798797,36.76531659
Adra1a,adrenoceptor alpha 1A,-1.802870743,0.001769473,0.007833502,2.291263428,2.050967122,1.399272791,1.379122417,1.658257378,4.174990455,2.476176886,3.308193356,3.673139692,2.308136467
Adra2b,adrenoceptor alpha 2B,3.581847088,0.012190839,0.039933662,0.950036055,0.740627016,0.466424264,6.608294917,0.718578197,0.352816095,0.303205333,0.857679759,0.734627938,0.384689411
Adrb1,adrenoceptor beta 1,-1.628570383,0.001811068,0.007990857,5.197256067,10.36877823,7.99584452,5.229172499,7.517433449,11.23131235,9.652036433,16.35717826,13.1008649,8.847856458
Adrbk2,"adrenergic, beta, receptor kinase 2",-1.640656253,0.000152259,0.000957152,15.14469241,20.11087206,16.12495312,12.58449206,18.62775788,31.57704048,17.99018309,34.12340184,26.99757673,24.9498561
Adsl,adenylosuccinate lyase,1.483219011,1.09E-06,1.29E-05,91.20346131,95.36997119,95.01728571,74.58753741,96.17892795,66.32942582,62.86457237,56.23928705,55.89294231,63.58366411
Adss,adenylosuccinate synthase,-1.313282337,0.001082721,0.005161998,56.05212726,48.53955523,55.9042796,53.72831085,50.63212529,74.97342014,73.02195102,53.78877345,74.13620278,71.82700864
Aebp2,AE binding protein 2,-1.360412427,0.005103056,0.019187312,12.96519793,9.856036449,8.728796934,9.596393488,9.175690827,13.23060355,14.35171909,15.62202418,12.91720792,12.41997242
Aes,amino-terminal enhancer of split,1.334731281,0.010037183,0.033979619,1176.31229,1228.301421,1336.971836,1161.62332,1344.625633,882.6282638,812.9945661,1189.540563,857.1883661,938.6421634
Afap1,actin filament associated protein 1,-1.42125121,0.001878569,0.008258968,10.78570345,9.856036449,7.462788219,11.72254055,8.291286892,14.05384111,14.75599287,13.53908762,13.65183585,12.47492805
Aff3,"AF4/FMR2 family, member 3",-1.917470403,6.99E-14,4.37E-12,28.10989034,35.49312548,29.45136065,24.36449604,30.73303675,60.86077635,48.5633875,58.26096076,59.74973899,56.76916597
Aff4,"AF4/FMR2 family, member 4",-1.67240273,3.06E-11,1.07E-09,143.3995599,135.3638301,135.2630365,123.6613101,132.5500398,236.6219942,223.9171384,197.2663445,238.570423,224.5487049
Afmid,arylformamidase,1.717879596,2.46E-05,0.00019762,24.64505296,23.5291506,26.98597525,26.54810654,29.24060511,14.11264379,11.06699465,22.97356497,14.01914982,14.12359696
Aga,aspartylglucosaminidase,1.60048567,5.91E-06,5.68E-05,37.33082853,27.85897008,28.05208786,38.96020829,29.13005461,18.1112262,25.36817952,19.11400605,18.18204147,19.94889375
Agbl4,ATP/GTP binding protein-like 4,4.067918489,1.18E-19,2.14E-17,17.88303163,14.24282724,13.92609587,15.57259063,14.15046296,3.410555583,3.335258663,5.146078553,2.938511753,3.791938482
Agbl5,ATP/GTP binding protein-like 5,1.504567024,0.00198342,0.008622777,12.79754451,12.87551582,11.12755029,17.58381082,11.93945312,7.87955945,8.792954656,10.47594563,8.264564307,8.682989568
Ager,advanced glycosylation end product-specific receptor,4.524475727,2.60E-11,9.16E-10,8.215017655,5.754102205,5.663723202,8.389661373,6.190827546,1.058448284,1.212821332,2.695564956,1.163160902,1.428846385
Agfg1,ArfGAP with FG repeats 1,-1.50568821,4.58E-09,9.78E-08,50.68721778,48.9953257,52.97246994,48.95884582,55.66217267,86.79275932,73.02195102,68.98195775,77.74812348,80.83973199
Agk,acylglycerol kinase,-1.397866791,0.000189875,0.001157999,16.15061294,17.94596232,18.3904424,19.13532354,19.7332628,25.93198297,23.09413953,24.93397585,24.85491191,28.90666147
Ago2,argonaute RISC catalytic component 2,-1.642474083,1.84E-05,0.000153422,9.835667396,9.229352051,6.063515428,8.044880768,8.236011646,13.99503843,13.34103465,15.07065862,12.91720792,12.85961746
Agpat5,1-acylglycerol-3-phosphate O-acyltransferase 5,-1.238925002,0.009612565,0.032743754,30.95999851,31.50513385,32.64969846,39.76469637,34.0495515,43.16116893,41.38752795,35.34865863,43.15939138,46.21768498
